Amine,Concentration (m),Temperature (K),CO2​ Loading (mol/mol_alk),PCO2∗​ (Pa),Target -> kg′​ (mol/s·Pa·m²),Source
MEA,7,313.15,0.252,15.7,3.34E-06,Dugas 2009
MEA,7,313.15,0.351,77,1.40E-06,Dugas 2009
MEA,7,313.15,0.432,465,7.66E-07,Dugas 2009
MEA,7,313.15,0.496,4216,3.47E-07,Dugas 2009
MEA,7,333.15,0.252,109,2.92E-06,Dugas 2009
MEA,7,333.15,0.351,660,1.70E-06,Dugas 2009
MEA,7,333.15,0.432,3434,9.28E-07,Dugas 2009
MEA,7,333.15,0.496,16157,3.76E-07,Dugas 2009
MEA,7,353.15,0.271,1053,2.85E-06,Dugas 2009
MEA,7,353.15,0.366,4443,1.87E-06,Dugas 2009
MEA,7,373.15,0.271,5297,2.98E-06,Dugas 2009
MEA,7,373.15,0.366,19008,1.40E-06,Dugas 2009
MEA,9,313.15,0.231,10.4,-,Dugas 2009
MEA,9,313.15,0.324,34,1.86E-06,Dugas 2009
MEA,9,313.15,0.382,107,1.40E-06,Dugas 2009
MEA,9,313.15,0.441,417,8.36E-07,Dugas 2009
MEA,9,313.15,0.496,5354,3.02E-07,Dugas 2009
MEA,9,333.15,0.231,61,3.80E-06,Dugas 2009
MEA,9,333.15,0.324,263,2.44E-06,Dugas 2009
MEA,9,333.15,0.382,892,1.47E-06,Dugas 2009
MEA,9,333.15,0.441,2862,9.57E-07,Dugas 2009
MEA,9,333.15,0.496,21249,3.24E-07,Dugas 2009
MEA,9,353.15,0.265,979,3.24E-06,Dugas 2009
MEA,9,353.15,0.356,4797,1.75E-06,Dugas 2009
MEA,9,373.15,0.265,4940,3.40E-06,Dugas 2009
MEA,9,373.15,0.356,21534,1.33E-06,Dugas 2009
MEA,11,313.15,0.261,14,3.36E-06,Dugas 2009
MEA,11,313.15,0.353,67,1.76E-06,Dugas 2009
MEA,11,313.15,0.428,434,7.14E-07,Dugas 2009
MEA,11,313.15,0.461,1509,4.34E-07,Dugas 2009
MEA,11,333.15,0.261,96,3.35E-06,Dugas 2009
MEA,11,333.15,0.353,634,1.80E-06,Dugas 2009
